id,age_cat,c_charge_degree,race,sex,priors_count,two_year_recid
1414,25 - 45,F,Caucasian,Male,1,1
1415,25 - 45,M,Caucasian,Female,0,0
1416,Less than 25,M,African-American,Male,3,0
1417,25 - 45,F,African-American,Male,6,1
1418,25 - 45,M,Caucasian,Male,0,0
1419,Less than 25,F,African-American,Male,3,1
1420,Less than 25,F,African-American,Male,0,0
1421,25 - 45,M,Caucasian,Male,0,0
1422,25 - 45,M,African-American,Male,18,0
1423,25 - 45,F,African-American,Male,1,0
1424,25 - 45,F,Caucasian,Male,2,1
1425,25 - 45,M,Caucasian,Male,3,0
1426,Greater than 45,M,African-American,Male,5,0
1427,25 - 45,M,Other,Male,0,0
1428,Greater than 45,M,Hispanic,Male,0,0
1429,25 - 45,F,African-American,Male,7,1
1430,25 - 45,M,African-American,Male,1,0
1431,Less than 25,F,Caucasian,Male,0,0
1432,25 - 45,M,African-American,Male,10,1
1433,25 - 45,F,African-American,Male,0,0
1434,25 - 45,F,African-American,Male,2,0
1435,25 - 45,F,African-American,Male,8,1
1436,25 - 45,F,African-American,Male,1,1
1437,Greater than 45,M,Caucasian,Male,0,0
1438,25 - 45,F,African-American,Male,1,0
1439,Less than 25,F,Caucasian,Male,0,1
1440,25 - 45,F,African-American,Male,1,0
1441,Less than 25,M,African-American,Female,6,0
1442,25 - 45,F,Caucasian,Male,0,0
1443,25 - 45,F,Caucasian,Male,1,0
1444,25 - 45,F,African-American,Male,0,0
1445,Less than 25,F,African-American,Male,0,0
1446,Less than 25,F,Caucasian,Male,0,0
1447,25 - 45,M,African-American,Male,1,0
1448,Greater than 45,M,Caucasian,Male,9,0
1449,25 - 45,M,African-American,Male,2,0
1450,25 - 45,F,African-American,Male,0,1
1451,25 - 45,M,African-American,Male,1,0
1452,25 - 45,F,Caucasian,Male,0,0
1453,25 - 45,M,Hispanic,Male,3,0
1454,25 - 45,M,African-American,Male,4,1
1455,25 - 45,F,Native American,Male,0,0
1456,Greater than 45,F,African-American,Male,0,0
1457,Greater than 45,F,African-American,Male,8,1
1458,25 - 45,M,African-American,Male,5,0
1459,25 - 45,F,African-American,Male,9,0
1460,Greater than 45,F,African-American,Male,5,1
1461,25 - 45,F,Caucasian,Female,0,0
1462,Greater than 45,M,African-American,Male,5,0
1463,Greater than 45,F,Caucasian,Male,2,0
1464,Greater than 45,M,Caucasian,Male,0,0
1465,Greater than 45,F,African-American,Male,4,1
1466,25 - 45,F,African-American,Female,0,0
1467,Less than 25,F,Hispanic,Male,2,1
1468,Less than 25,F,Other,Male,0,0
1469,25 - 45,F,African-American,Male,21,1
1470,Less than 25,M,Hispanic,Female,0,0
1471,25 - 45,F,African-American,Male,1,0
1472,Less than 25,F,African-American,Male,1,0
1473,Greater than 45,M,Caucasian,Male,0,0
1474,Greater than 45,M,Caucasian,Male,1,1
1475,Greater than 45,M,Caucasian,Male,0,1
1476,Greater than 45,F,African-American,Male,2,0
1477,25 - 45,M,African-American,Male,4,0
1478,25 - 45,F,African-American,Male,14,1
1479,25 - 45,F,African-American,Male,2,0
1480,Greater than 45,F,African-American,Male,5,1
1481,25 - 45,F,African-American,Male,8,0
1482,25 - 45,F,Other,Male,5,0
1483,25 - 45,M,African-American,Female,1,0
1484,25 - 45,F,Caucasian,Male,4,0
1485,25 - 45,M,African-American,Female,0,0
1486,Less than 25,F,Hispanic,Male,1,0
1487,Greater than 45,F,African-American,Male,1,0
1488,25 - 45,M,Caucasian,Male,0,1
1489,25 - 45,M,African-American,Female,4,0
1490,25 - 45,F,African-American,Male,4,0
1491,Greater than 45,M,African-American,Male,0,0
1492,25 - 45,M,African-American,Male,2,0
1493,Greater than 45,F,African-American,Male,5,0
1494,25 - 45,F,African-American,Male,0,0
1495,25 - 45,M,African-American,Male,0,0
1496,25 - 45,M,Caucasian,Male,1,0
1497,25 - 45,F,African-American,Female,1,0
1498,25 - 45,F,African-American,Male,9,0
1499,25 - 45,F,Caucasian,Male,1,0
1500,25 - 45,F,Caucasian,Male,0,0
1501,25 - 45,M,Caucasian,Female,1,0
1502,25 - 45,F,African-American,Male,3,0
1503,Greater than 45,M,African-American,Female,7,0
1504,Less than 25,F,African-American,Male,0,0
1505,25 - 45,F,Hispanic,Male,16,1
1506,Less than 25,M,African-American,Female,0,0
1507,25 - 45,F,African-American,Male,1,0
1508,Less than 25,F,Caucasian,Female,1,0
1509,25 - 45,M,African-American,Male,13,1
1510,Greater than 45,F,African-American,Male,0,0
1511,25 - 45,F,African-American,Male,2,0
1512,25 - 45,M,Other,Female,0,0
1513,Greater than 45,M,Caucasian,Male,0,0
1514,25 - 45,F,African-American,Male,0,0
1515,25 - 45,F,Asian,Male,2,1
1516,Less than 25,F,African-American,Male,1,1
1517,25 - 45,M,African-American,Male,2,0
1518,Less than 25,F,Hispanic,Male,0,1
1519,Greater than 45,M,Caucasian,Male,2,0
1520,Greater than 45,F,African-American,Male,1,0
1521,25 - 45,F,Hispanic,Male,8,1
1522,Less than 25,M,African-American,Male,1,1
1523,25 - 45,M,Caucasian,Female,0,0
1524,Greater than 45,M,Caucasian,Male,2,0
1525,25 - 45,F,African-American,Male,11,1
1526,25 - 45,F,Hispanic,Male,0,0
1527,25 - 45,F,Caucasian,Female,7,0
1528,25 - 45,F,Caucasian,Male,0,0
1529,25 - 45,F,Other,Male,3,0
1530,Greater than 45,F,Caucasian,Male,4,0
1531,Less than 25,F,Caucasian,Male,0,0
1532,25 - 45,F,African-American,Male,1,0
1533,25 - 45,F,Caucasian,Male,0,0
1534,Less than 25,F,African-American,Male,1,1
1535,25 - 45,F,Hispanic,Male,0,0
1536,25 - 45,M,Caucasian,Male,0,0
1537,25 - 45,F,Caucasian,Male,2,1
1538,25 - 45,F,African-American,Male,4,1
1539,Greater than 45,M,Caucasian,Male,0,0
1540,Less than 25,F,Other,Male,0,1
1541,Greater than 45,M,Caucasian,Male,1,1
1542,25 - 45,F,African-American,Male,4,0
1543,Less than 25,F,Caucasian,Male,0,1
1544,25 - 45,F,African-American,Male,2,0
1545,25 - 45,F,African-American,Male,1,1
1546,Greater than 45,F,Other,Male,2,0
1547,Less than 25,F,African-American,Male,0,0
1548,25 - 45,F,African-American,Male,4,0
1549,25 - 45,M,Caucasian,Male,0,0
1550,25 - 45,M,Other,Female,0,0
1551,Less than 25,F,Other,Male,0,0
1552,25 - 45,F,African-American,Male,1,1
1553,Less than 25,F,Caucasian,Female,0,0
1554,Greater than 45,M,Caucasian,Male,2,0
1555,25 - 45,F,African-American,Male,9,0
1556,Greater than 45,M,Other,Male,0,0
1557,25 - 45,M,African-American,Female,0,0
1558,Less than 25,F,African-American,Male,3,0
1559,Greater than 45,M,Caucasian,Male,0,0
1560,25 - 45,F,Caucasian,Male,0,0
1561,25 - 45,M,Other,Male,0,0
1562,25 - 45,F,African-American,Male,4,0
1563,25 - 45,F,Caucasian,Male,2,0
1564,Greater than 45,F,African-American,Female,4,0
1565,Greater than 45,F,African-American,Female,0,0
1566,25 - 45,F,African-American,Male,12,1
1567,25 - 45,M,Caucasian,Male,0,0
1568,25 - 45,F,African-American,Female,5,0
1569,Less than 25,F,African-American,Male,2,0
1570,25 - 45,M,Caucasian,Male,0,0
1571,25 - 45,F,Caucasian,Male,1,0
1572,Greater than 45,F,Caucasian,Male,11,1
1573,Greater than 45,F,Caucasian,Male,2,0
1574,Greater than 45,M,African-American,Male,4,0
1575,Greater than 45,F,Native American,Female,15,1
1576,Greater than 45,F,African-American,Male,21,1
1577,Greater than 45,F,Caucasian,Female,1,0
1578,Greater than 45,F,Caucasian,Female,0,0
1579,25 - 45,M,African-American,Male,0,0
1580,25 - 45,M,Caucasian,Male,5,1
1581,25 - 45,F,African-American,Male,26,1
1582,Less than 25,F,African-American,Male,0,0
1583,25 - 45,F,African-American,Female,3,1
1584,25 - 45,F,Caucasian,Male,3,1
1585,Greater than 45,M,Caucasian,Male,0,0
1586,25 - 45,F,Caucasian,Male,11,1
1587,Greater than 45,F,African-American,Male,5,1
1588,25 - 45,F,African-American,Male,18,1
1589,25 - 45,F,African-American,Male,15,0
1590,25 - 45,F,African-American,Male,0,0
1591,25 - 45,M,African-American,Male,8,1
1592,25 - 45,F,Hispanic,Male,3,0
1593,25 - 45,F,Caucasian,Female,0,0
1594,Less than 25,M,Other,Female,0,1
1595,25 - 45,M,Hispanic,Male,0,0
1596,25 - 45,M,Caucasian,Male,6,0
1597,25 - 45,F,African-American,Male,3,1
1598,25 - 45,M,African-American,Female,0,0
1599,25 - 45,F,Caucasian,Female,2,1
1600,25 - 45,F,African-American,Male,3,0
1601,25 - 45,M,Caucasian,Male,1,0
1602,25 - 45,M,Hispanic,Male,1,0
1603,Greater than 45,M,Caucasian,Male,1,0
1604,25 - 45,F,Caucasian,Male,2,0
1605,Greater than 45,M,Caucasian,Male,0,0
1606,25 - 45,M,Caucasian,Female,4,1
1607,Greater than 45,F,Caucasian,Male,9,0
1608,25 - 45,F,Caucasian,Female,0,0
1609,Less than 25,F,Caucasian,Male,0,0
1610,25 - 45,M,African-American,Male,4,1
1611,Greater than 45,M,Caucasian,Male,0,0
1612,25 - 45,F,African-American,Male,4,0
1613,25 - 45,M,Caucasian,Male,0,1
1614,25 - 45,F,African-American,Male,3,1
1615,Greater than 45,F,African-American,Male,1,0
1616,25 - 45,F,Caucasian,Male,3,1
1617,25 - 45,M,Hispanic,Female,0,1
1618,Less than 25,M,African-American,Male,0,0
1619,Greater than 45,F,Caucasian,Male,0,0
1620,25 - 45,M,African-American,Male,37,1
1621,Less than 25,F,African-American,Male,2,0
1622,25 - 45,F,African-American,Male,2,1
1623,25 - 45,F,Caucasian,Female,2,0
1624,25 - 45,M,African-American,Male,0,1
1625,25 - 45,F,African-American,Male,1,0
1626,25 - 45,F,African-American,Female,3,1
1627,25 - 45,F,African-American,Male,1,1
1628,25 - 45,F,African-American,Male,0,0
1629,25 - 45,F,African-American,Male,1,0
1630,Greater than 45,F,African-American,Male,6,1
1631,25 - 45,F,Hispanic,Male,0,1
1632,Less than 25,F,African-American,Male,1,1
1633,Less than 25,F,African-American,Male,0,0
1634,Greater than 45,F,Hispanic,Male,9,1
1635,25 - 45,F,Other,Female,0,0
1636,Greater than 45,F,African-American,Female,1,0
1637,Less than 25,F,Caucasian,Male,1,0
1638,25 - 45,F,Caucasian,Male,6,1
1639,Greater than 45,M,African-American,Male,1,1
1640,Greater than 45,M,Caucasian,Male,0,0
1641,25 - 45,M,African-American,Female,9,1
1642,Greater than 45,M,Caucasian,Male,0,0
1643,25 - 45,F,African-American,Male,10,1
1644,Greater than 45,M,African-American,Male,0,0
1645,Less than 25,F,African-American,Male,3,1
1646,25 - 45,F,African-American,Male,13,0
1647,Greater than 45,M,African-American,Male,3,1
1648,25 - 45,F,African-American,Male,5,1
1649,Greater than 45,F,African-American,Male,2,0
1650,Less than 25,M,Caucasian,Male,0,1
1651,Greater than 45,M,Caucasian,Male,1,0
1652,Less than 25,M,African-American,Male,0,0
1653,Greater than 45,F,African-American,Male,1,0
1654,25 - 45,F,Caucasian,Female,0,0
1655,25 - 45,M,Caucasian,Male,0,0
1656,25 - 45,F,African-American,Male,2,1
1657,25 - 45,F,Caucasian,Male,3,0
1658,25 - 45,M,African-American,Male,3,1
1659,25 - 45,F,African-American,Male,7,1
1660,25 - 45,F,African-American,Male,1,0
1661,25 - 45,F,Caucasian,Male,0,1
1662,25 - 45,F,Caucasian,Female,2,0
1663,Less than 25,F,Hispanic,Male,6,1
1664,25 - 45,M,Caucasian,Female,0,0
1665,Less than 25,F,African-American,Male,0,1
1666,25 - 45,M,African-American,Female,0,0
1667,Less than 25,F,Caucasian,Female,0,0
1668,25 - 45,M,Caucasian,Male,0,1
1669,25 - 45,F,Caucasian,Male,0,0
1670,Greater than 45,F,Caucasian,Male,0,1
1671,25 - 45,F,Caucasian,Male,0,1
1672,25 - 45,M,Caucasian,Male,1,0
1673,25 - 45,F,African-American,Female,12,1
1674,25 - 45,F,African-American,Male,3,0
1675,Greater than 45,F,African-American,Male,15,1
1676,25 - 45,F,African-American,Male,9,1
1677,25 - 45,F,African-American,Female,1,0
1678,Less than 25,M,African-American,Male,1,0
1679,Greater than 45,F,African-American,Male,1,0
1680,25 - 45,M,Caucasian,Male,1,0
1681,Less than 25,F,African-American,Male,3,1
1682,25 - 45,M,Caucasian,Male,1,1
1683,25 - 45,F,Caucasian,Male,1,0
1684,Less than 25,F,Caucasian,Male,1,1
1685,Greater than 45,F,Other,Male,2,0
1686,25 - 45,F,Caucasian,Male,5,0
1687,25 - 45,M,African-American,Male,6,1
1688,Greater than 45,M,African-American,Male,1,0
1689,25 - 45,M,Caucasian,Male,0,0
1690,Greater than 45,F,African-American,Male,22,1
1691,25 - 45,F,African-American,Male,4,1
1692,25 - 45,F,Caucasian,Male,2,0
1693,Less than 25,F,African-American,Female,1,0
1694,25 - 45,M,Hispanic,Male,0,0
1695,Less than 25,F,African-American,Male,3,0
1696,25 - 45,F,African-American,Male,2,0
1697,25 - 45,F,African-American,Male,7,1
1698,25 - 45,F,African-American,Female,14,1
1699,25 - 45,M,Caucasian,Male,2,0
1700,25 - 45,F,Hispanic,Male,1,1
1701,25 - 45,M,African-American,Male,2,0
1702,Greater than 45,F,Hispanic,Male,0,0
1703,Less than 25,F,African-American,Female,0,0
1704,Less than 25,F,Caucasian,Male,0,0
1705,25 - 45,F,African-American,Male,5,1
1706,25 - 45,M,Caucasian,Male,4,0
1707,25 - 45,F,Other,Male,1,1
1708,Greater than 45,F,Hispanic,Male,1,1
1709,Less than 25,F,African-American,Male,1,1
1710,Greater than 45,F,Caucasian,Male,1,0
1711,Less than 25,F,African-American,Female,0,0
1712,25 - 45,F,Hispanic,Male,0,0
1713,25 - 45,F,Caucasian,Female,2,0
1714,25 - 45,F,Caucasian,Male,8,1
1715,25 - 45,F,Caucasian,Male,2,0
1716,Less than 25,F,African-American,Male,1,0
1717,25 - 45,F,African-American,Male,3,0
1718,Less than 25,F,Caucasian,Male,0,0
1719,Less than 25,F,Caucasian,Male,0,1
1720,Less than 25,F,African-American,Male,1,1
1721,Less than 25,F,Hispanic,Male,0,0
1722,Greater than 45,F,African-American,Male,3,0
1723,25 - 45,F,African-American,Male,7,1
1724,25 - 45,M,Caucasian,Male,0,0
1725,Greater than 45,F,Caucasian,Male,3,0
1726,25 - 45,F,Hispanic,Male,0,0
1727,Greater than 45,F,African-American,Male,0,0
1728,Greater than 45,F,African-American,Male,17,1
1729,25 - 45,F,African-American,Male,8,1
1730,Less than 25,F,Caucasian,Male,1,0
1731,25 - 45,M,Caucasian,Male,1,1
1732,25 - 45,F,African-American,Male,1,0
1733,Less than 25,F,African-American,Male,2,1
1734,Greater than 45,F,Caucasian,Male,4,0
1735,25 - 45,F,African-American,Male,4,0
1736,25 - 45,M,Caucasian,Male,0,0
1737,Greater than 45,M,Caucasian,Male,1,1
1738,25 - 45,F,Hispanic,Male,2,0
1739,Greater than 45,F,Caucasian,Male,1,0
1740,Greater than 45,M,African-American,Male,1,1
1741,Greater than 45,F,Caucasian,Male,0,0
1742,Less than 25,M,Caucasian,Male,3,1
1743,25 - 45,F,African-American,Male,1,0
1744,25 - 45,F,Hispanic,Male,1,0
1745,25 - 45,M,African-American,Female,10,1
1746,25 - 45,M,African-American,Male,10,1
1747,25 - 45,F,African-American,Male,6,1
1748,25 - 45,F,African-American,Male,0,0
1749,Greater than 45,F,Caucasian,Male,10,0
1750,25 - 45,F,African-American,Male,1,1
1751,25 - 45,M,African-American,Male,4,0
1752,Greater than 45,M,Caucasian,Female,0,0
1753,25 - 45,M,African-American,Male,3,0
1754,Less than 25,F,African-American,Male,1,1
1755,Greater than 45,F,Caucasian,Male,0,0
1756,25 - 45,M,Caucasian,Male,16,0
1757,Less than 25,F,African-American,Male,0,1
1758,Greater than 45,F,Caucasian,Male,0,0
1759,25 - 45,M,Caucasian,Female,0,0
1760,25 - 45,F,Caucasian,Male,0,0
1761,Greater than 45,F,African-American,Female,7,0
1762,25 - 45,M,African-American,Male,0,0
1763,25 - 45,M,Caucasian,Male,0,0
1764,25 - 45,F,African-American,Male,3,1
1765,Less than 25,F,African-American,Male,1,1
1766,25 - 45,M,Caucasian,Male,0,0
1767,Less than 25,F,African-American,Male,0,0
1768,Greater than 45,F,African-American,Male,10,1
1769,25 - 45,F,African-American,Male,1,1
1770,25 - 45,F,African-American,Male,0,0
1771,Greater than 45,F,African-American,Male,1,0
1772,Less than 25,M,African-American,Male,0,0
1773,25 - 45,M,African-American,Female,0,0
1774,Greater than 45,M,Other,Male,0,0
1775,Greater than 45,F,Other,Male,2,0
1776,25 - 45,F,African-American,Male,4,0
1777,25 - 45,F,African-American,Male,8,0
1778,25 - 45,M,African-American,Female,0,0
1779,25 - 45,M,African-American,Male,1,0
1780,25 - 45,M,Caucasian,Male,0,0
1781,25 - 45,F,Other,Male,0,0
1782,25 - 45,F,African-American,Female,0,0
1783,25 - 45,F,African-American,Male,9,1
1784,Greater than 45,F,African-American,Male,1,0
1785,25 - 45,F,Caucasian,Male,1,0
1786,Greater than 45,M,Caucasian,Female,0,1
1787,Greater than 45,F,African-American,Female,8,0
1788,25 - 45,F,African-American,Male,5,1
1789,25 - 45,F,African-American,Male,8,1
1790,Less than 25,M,African-American,Male,0,0
1791,Less than 25,F,African-American,Male,1,0
1792,Greater than 45,M,Caucasian,Male,0,0
1793,Greater than 45,F,Caucasian,Male,0,0
1794,25 - 45,F,Caucasian,Male,1,0
1795,Less than 25,F,African-American,Male,1,1
1796,Greater than 45,F,Caucasian,Male,5,1
1797,Greater than 45,M,Caucasian,Male,0,0
1798,25 - 45,F,Hispanic,Female,0,0
1799,25 - 45,F,African-American,Female,1,0
1800,25 - 45,F,African-American,Female,0,0
1801,25 - 45,F,Caucasian,Male,0,1
1802,25 - 45,F,African-American,Male,1,1
1803,Greater than 45,M,Caucasian,Male,1,0
1804,Less than 25,F,African-American,Male,2,0
1805,Greater than 45,F,Caucasian,Male,33,1
1806,Greater than 45,F,Caucasian,Female,1,0
1807,Less than 25,M,African-American,Male,1,1
1808,Less than 25,F,African-American,Male,4,1
1809,25 - 45,F,Hispanic,Female,0,0
1810,Greater than 45,M,Other,Male,0,0
1811,25 - 45,F,African-American,Male,0,0
1812,25 - 45,M,African-American,Male,1,0
1813,25 - 45,F,Caucasian,Male,4,0
1814,25 - 45,F,Caucasian,Female,0,0
1815,25 - 45,F,Caucasian,Male,14,0
1816,Greater than 45,M,Caucasian,Male,1,0
1817,25 - 45,F,African-American,Male,15,0
1818,Less than 25,F,African-American,Male,1,0
1819,Greater than 45,M,African-American,Male,1,0
1820,25 - 45,F,Caucasian,Male,2,1
1821,25 - 45,M,Caucasian,Male,1,0
1822,25 - 45,F,African-American,Male,1,1
1823,25 - 45,M,African-American,Male,18,1
1824,Less than 25,F,African-American,Male,1,1
1825,Greater than 45,M,African-American,Male,3,0
1826,25 - 45,F,African-American,Female,14,0
1827,25 - 45,F,African-American,Male,7,1
1828,25 - 45,F,Caucasian,Male,0,1
1829,Less than 25,M,Caucasian,Male,0,1
1830,25 - 45,M,African-American,Female,1,0
1831,Greater than 45,M,Caucasian,Male,0,0
1832,25 - 45,F,African-American,Male,5,1
1833,Less than 25,F,Caucasian,Male,3,1
1834,Less than 25,M,Hispanic,Male,0,0
1835,Greater than 45,M,Caucasian,Male,0,0
1836,25 - 45,M,Caucasian,Female,0,0
1837,25 - 45,M,Caucasian,Male,1,1
1838,25 - 45,M,African-American,Male,1,0
1839,Less than 25,M,Caucasian,Male,2,0
1840,25 - 45,F,Caucasian,Male,0,0
1841,Less than 25,M,Caucasian,Male,1,0
1842,25 - 45,F,African-American,Male,1,1
1843,25 - 45,F,Caucasian,Male,0,0
1844,25 - 45,F,Caucasian,Male,0,0
1845,25 - 45,F,Caucasian,Male,1,0
1846,25 - 45,F,Caucasian,Male,1,1
1847,25 - 45,F,African-American,Male,7,0
1848,25 - 45,M,African-American,Male,0,0
1849,25 - 45,F,African-American,Male,8,1
1850,Greater than 45,M,Caucasian,Male,0,0
1851,25 - 45,M,African-American,Male,1,0
1852,25 - 45,M,Caucasian,Female,1,1
1853,25 - 45,F,African-American,Male,1,1
1854,25 - 45,F,African-American,Male,2,0
1855,Less than 25,M,Other,Male,5,1
1856,Less than 25,M,African-American,Female,4,1
1857,Less than 25,M,African-American,Male,1,0
1858,25 - 45,M,Other,Male,3,0
1859,Greater than 45,F,African-American,Female,2,0
1860,25 - 45,M,African-American,Male,2,1
1861,25 - 45,M,African-American,Female,0,0
1862,Less than 25,F,Caucasian,Male,0,1
1863,Greater than 45,M,Caucasian,Female,0,0
1864,Greater than 45,F,Caucasian,Male,0,0
1865,Greater than 45,M,African-American,Male,1,0
1866,Greater than 45,M,African-American,Male,3,1
1867,25 - 45,F,African-American,Male,5,0
1868,Greater than 45,F,Caucasian,Male,1,0
1869,25 - 45,F,Hispanic,Male,2,0
1870,Less than 25,F,African-American,Male,2,1
1871,25 - 45,F,African-American,Male,5,1
1872,25 - 45,M,African-American,Male,4,0
1873,Less than 25,F,African-American,Male,1,1
1874,25 - 45,F,African-American,Female,7,0
1875,25 - 45,F,African-American,Female,0,0
1876,25 - 45,F,Other,Male,2,1
1877,Greater than 45,M,Caucasian,Male,0,0
1878,25 - 45,M,Caucasian,Male,0,0
1879,25 - 45,M,Caucasian,Male,0,0
1880,Greater than 45,M,Caucasian,Male,0,0
1881,Less than 25,M,African-American,Male,0,0
1882,Greater than 45,M,African-American,Male,22,0
1883,25 - 45,M,African-American,Male,0,0
1884,Less than 25,F,Caucasian,Male,1,0
1885,25 - 45,M,Caucasian,Male,0,0
1886,Greater than 45,F,African-American,Male,0,1
1887,25 - 45,F,African-American,Male,10,1
1888,Less than 25,F,Caucasian,Male,0,0
1889,Greater than 45,F,Caucasian,Female,0,1
1890,25 - 45,F,Other,Male,11,0
1891,Less than 25,F,African-American,Female,0,1
1892,Less than 25,M,Hispanic,Male,6,1
1893,25 - 45,F,African-American,Male,11,1
1894,25 - 45,M,Caucasian,Male,5,0
1895,Greater than 45,M,African-American,Female,0,0
1896,25 - 45,F,African-American,Male,13,1
1897,Greater than 45,F,Hispanic,Male,0,0
1898,Greater than 45,F,Hispanic,Male,8,0
1899,Less than 25,F,African-American,Male,0,0
1900,Greater than 45,F,Asian,Male,3,1
1901,25 - 45,M,Other,Male,0,0
1902,25 - 45,F,African-American,Female,13,0
1903,Less than 25,F,African-American,Male,0,1
1904,Greater than 45,M,Caucasian,Male,2,0
1905,Greater than 45,F,African-American,Male,7,0
1906,Less than 25,F,African-American,Female,0,0
1907,25 - 45,F,Caucasian,Male,3,0
1908,25 - 45,F,African-American,Male,3,1
1909,25 - 45,M,Caucasian,Male,0,0
1910,25 - 45,F,African-American,Male,1,1
1911,25 - 45,F,African-American,Male,1,1
1912,25 - 45,F,Other,Male,1,0
1913,Less than 25,F,African-American,Male,1,0
1914,25 - 45,F,Caucasian,Male,3,1
1915,25 - 45,M,Caucasian,Male,0,0
1916,25 - 45,F,Caucasian,Male,0,0
1917,25 - 45,F,African-American,Male,0,0
1918,25 - 45,F,Hispanic,Male,0,0
1919,Greater than 45,F,Caucasian,Male,1,0
1920,Greater than 45,M,Caucasian,Male,0,0
1921,Less than 25,F,African-American,Male,1,1
1922,25 - 45,M,Caucasian,Male,6,0
1923,Greater than 45,F,Caucasian,Female,2,1
1924,25 - 45,F,African-American,Male,7,0
1925,25 - 45,M,Caucasian,Male,1,0
1926,Greater than 45,M,Caucasian,Male,0,0
1927,25 - 45,M,Caucasian,Male,0,0
1928,25 - 45,M,African-American,Male,0,1
1929,25 - 45,F,African-American,Male,0,0
1930,25 - 45,M,African-American,Female,0,1
1931,Greater than 45,F,Hispanic,Male,2,1
1932,25 - 45,M,Hispanic,Male,0,0
1933,25 - 45,F,Hispanic,Male,8,1
1934,25 - 45,M,Hispanic,Male,0,0
1935,Less than 25,F,African-American,Male,1,1
1936,25 - 45,F,African-American,Male,1,0
1937,25 - 45,M,African-American,Male,0,0
1938,25 - 45,M,Caucasian,Male,0,0
1939,25 - 45,F,African-American,Female,1,0
1940,25 - 45,M,Caucasian,Male,4,0
1941,Greater than 45,F,Caucasian,Male,1,0
1942,Less than 25,F,African-American,Male,0,0
1943,25 - 45,F,Caucasian,Male,0,0
1944,Less than 25,F,African-American,Male,1,0
1945,25 - 45,F,African-American,Male,11,1
1946,Greater than 45,M,African-American,Male,0,0
1947,25 - 45,F,Other,Male,2,1
1948,25 - 45,F,African-American,Male,1,0
1949,25 - 45,M,Caucasian,Female,0,0
1950,25 - 45,F,Hispanic,Female,7,1
1951,25 - 45,M,African-American,Female,0,0
1952,25 - 45,M,Hispanic,Male,0,1
1953,Greater than 45,M,African-American,Male,0,0
1954,25 - 45,M,Caucasian,Male,2,0
1955,25 - 45,F,African-American,Male,0,0
1956,25 - 45,F,African-American,Male,3,0
1957,Less than 25,M,Caucasian,Male,3,1
1958,Greater than 45,F,Caucasian,Male,19,1
1959,25 - 45,M,Hispanic,Male,1,0
1960,25 - 45,F,African-American,Male,1,0
1961,Greater than 45,F,Caucasian,Female,1,1
1962,25 - 45,F,Caucasian,Male,3,1
1963,25 - 45,F,African-American,Male,6,0
1964,Less than 25,F,African-American,Male,0,0
1965,25 - 45,F,African-American,Male,2,1
1966,25 - 45,M,African-American,Male,3,0
1967,Greater than 45,M,Caucasian,Female,0,0
1968,25 - 45,F,Caucasian,Male,0,0
1969,25 - 45,F,Caucasian,Female,2,0
1970,Less than 25,F,Caucasian,Male,3,1
1971,25 - 45,M,Caucasian,Male,3,1
1972,Greater than 45,M,Caucasian,Female,0,0
1973,Less than 25,F,Caucasian,Male,3,1
1974,25 - 45,M,African-American,Male,2,0
1975,25 - 45,F,African-American,Male,0,0
1976,25 - 45,M,Caucasian,Male,0,0
1977,25 - 45,F,African-American,Male,13,0
1978,25 - 45,F,African-American,Male,6,0
1979,Greater than 45,M,Hispanic,Male,0,1
1980,Less than 25,F,African-American,Male,0,0
1981,25 - 45,F,Caucasian,Male,1,0
1982,Less than 25,F,Caucasian,Male,0,1
1983,25 - 45,F,African-American,Male,10,0
1984,Greater than 45,F,Caucasian,Male,1,0
1985,25 - 45,M,African-American,Male,13,1
1986,25 - 45,F,African-American,Male,0,0
1987,Less than 25,M,African-American,Male,1,0
1988,Less than 25,M,Caucasian,Male,3,1
1989,25 - 45,M,African-American,Male,8,1
1990,Greater than 45,F,African-American,Male,0,1
1991,25 - 45,F,Caucasian,Male,6,1
1992,25 - 45,F,African-American,Male,25,1
1993,Greater than 45,M,African-American,Male,9,0
1994,Less than 25,F,African-American,Male,1,0
1995,Greater than 45,M,Caucasian,Female,1,0
1996,Greater than 45,F,Caucasian,Male,7,1
1997,25 - 45,M,Caucasian,Male,2,0
1998,25 - 45,F,Hispanic,Male,0,0
1999,25 - 45,F,Caucasian,Female,0,0
2000,25 - 45,F,African-American,Female,3,0
2001,25 - 45,F,African-American,Male,0,1
2002,Less than 25,M,African-American,Male,0,1
2003,Greater than 45,F,Caucasian,Male,0,0
2004,Greater than 45,M,African-American,Male,8,1
2005,25 - 45,F,African-American,Male,5,1
2006,25 - 45,F,African-American,Male,0,0
2007,Less than 25,M,Caucasian,Male,3,1
2008,25 - 45,F,African-American,Male,5,0
2009,Greater than 45,F,African-American,Male,0,0
2010,Less than 25,F,African-American,Male,0,0
2011,Greater than 45,M,African-American,Male,1,0
2012,25 - 45,M,Caucasian,Female,1,1
2013,Greater than 45,M,African-American,Male,0,1
2014,25 - 45,F,Caucasian,Female,4,0
2015,Less than 25,F,African-American,Male,0,0
2016,Greater than 45,F,Caucasian,Male,10,0
2017,25 - 45,M,Caucasian,Male,2,0
2018,25 - 45,F,Caucasian,Male,7,1
